aghvegh[N][Abs][Du]	aghveghek
aghvegh[N][Abs][Pl]	aghveghet
aghvegh[N][Abs][Sg]	aghveq
anigu[N][Abs][Du]	aniguk
anigu[N][Abs][Pl]	anigut
anigu[N][Abs][Sg]	anigu
aqavzig[N][Abs][Du]	aqavzigek
aqavzig[N][Abs][Pl]	aqavziget
aqavzig[N][Abs][Sg]	aqavzik
aqelqagh[N][Abs][Du]	aqelqak
aqelqagh[N][Abs][Pl]	aqelqat
aqelqagh[N][Abs][Sg]	aqelqaq
ayvegh[N][Abs][Du]	ayveghek
ayvegh[N][Abs][Pl]	ayveghet
ayvegh[N][Abs][Sg]	ayveq
esla[N][Abs][Du]	eslak
esla[N][Abs][Pl]	eslat
esla[N][Abs][Sg]	esla
iqallug[N][Abs][Du]	iqallugek
iqallug[N][Abs][Pl]	iqalluget
iqallug[N][Abs][Sg]	iqalluk
kayu[N][Abs][Du]	kayuk
kayu[N][Abs][Pl]	kayut
kayu[N][Abs][Sg]	kayu
kufi[N][Abs][Du]	kufik
kufi[N][Abs][Pl]	kufit
kufi[N][Abs][Sg]	kufi
Laluramke[N][Abs][Du]	Laluramkek
Laluramke[N][Abs][Pl]	Laluramket
Laluramke[N][Abs][Sg]	Laluramka
megh[N][Abs][Du]	meghek
megh[N][Abs][Pl]	meghet
megh[N][Abs][Sg]	meq
naayvagh[N][Abs][Du]	naayvak
naayvagh[N][Abs][Pl]	naayvat
naayvagh[N][Abs][Sg]	naayvaq
neghsagh[N][Abs][Du]	neghsak
neghsagh[N][Abs][Pl]	neghsat
neghsagh[N][Abs][Sg]	neghsaq
neqe[N][Abs][Du]	neqek
neqe[N][Abs][Pl]	neqet
neqe[N][Abs][Sg]	neqa
nuna[N][Abs][Du]	nunak
nuna[N][Abs][Pl]	nunat
nuna[N][Abs][Sg]	nuna
pagunghagh*[N][Abs][Du]	pagunghaak
pagunghagh*[N][Abs][Pl]	pagunghaat
pagunghagh*[N][Abs][Sg]	pagunghaq
sikig[N][Abs][Du]	sikigek
sikig[N][Abs][Pl]	sikiget
sikig[N][Abs][Sg]	sikik
Sivungagh*[N][Abs][Du]	Sivungaak
Sivungagh*[N][Abs][Pl]	Sivungaat
Sivungagh*[N][Abs][Sg]	Sivungaq
Sivuqagh[N][Abs][Du]	Sivuqak
Sivuqagh[N][Abs][Pl]	Sivuqat
Sivuqagh[N][Abs][Sg]	Sivuqaq
ukazig[N][Abs][Du]	ukazigek
ukazig[N][Abs][Pl]	ukaziget
ukazig[N][Abs][Sg]	ukazik
ulghaagh[N][Abs][Du]	ulghaaghek
ulghaagh[N][Abs][Pl]	ulghaaghet
ulghaagh[N][Abs][Sg]	ulghaaq
Ungazigh[N][Abs][Du]	Ungazik
Ungazigh[N][Abs][Pl]	Ungazit
Ungazigh[N][Abs][Sg]	Ungaziq
uqugh[N][Abs][Du]	uquk
uqugh[N][Abs][Pl]	uqut
uqugh[N][Abs][Sg]	uquq
vegaagh[N][Abs][Du]	vegaaghek
vegaagh[N][Abs][Pl]	vegaaghet
vegaagh[N][Abs][Sg]	vegaaq
veg[N][Abs][Du]	vegek
veg[N][Abs][Pl]	veget
veg[N][Abs][Sg]	vek
yavlu[N][Abs][Du]	yavluk
yavlu[N][Abs][Pl]	yavlut
yavlu[N][Abs][Sg]	yavlu
yaywaali[N][Abs][Du]	yaywaalik
yaywaali[N][Abs][Pl]	yaywaalit
yaywaali[N][Abs][Sg]	yaywaali
