alleg[V][Opt][PRS][2Sg][1Pl]	allegkut
alleg[V][Opt][PRS][2Sg][1Sg]	allegnga
alleg[V][Opt][PRS][2Sg][3Du]	allegkek
alleg[V][Opt][PRS][2Sg][3Pl]	allegki
alleg[V][Opt][PRS][2Sg][3Sg]	aallgu
aqfa[V][Opt][PRS][2Sg][1Pl]	aqfakut
aqfa[V][Opt][PRS][2Sg][1Sg]	aqfanga
aqfa[V][Opt][PRS][2Sg][3Du]	aqfakek
aqfa[V][Opt][PRS][2Sg][3Pl]	aqfaki
aqfa[V][Opt][PRS][2Sg][3Sg]	aqfagu
egte[V][Opt][PRS][2Sg][1Pl]	egtikut
egte[V][Opt][PRS][2Sg][1Sg]	egtinga
egte[V][Opt][PRS][2Sg][3Du]	egtikek
egte[V][Opt][PRS][2Sg][3Pl]	egtiki
egte[V][Opt][PRS][2Sg][3Sg]	egtigu
gaagh[V][Opt][PRS][2Sg][1Pl]	gaaghqut
gaagh[V][Opt][PRS][2Sg][1Sg]	gaaghnga
gaagh[V][Opt][PRS][2Sg][3Du]	gaaghqek
gaagh[V][Opt][PRS][2Sg][3Pl]	gaaghqi
gaagh[V][Opt][PRS][2Sg][3Sg]	gaaghhu
kaaw[V][Opt][PRS][2Sg][1Pl]	kaawkut
kaaw[V][Opt][PRS][2Sg][1Sg]	kaawnga
kaaw[V][Opt][PRS][2Sg][3Du]	kaawkek
kaaw[V][Opt][PRS][2Sg][3Pl]	kaawki
kaaw[V][Opt][PRS][2Sg][3Sg]	kaaggu
kayusigh[V][Opt][PRS][2Sg][1Pl]	kayusighqut
kayusigh[V][Opt][PRS][2Sg][1Sg]	kayusighnga
kayusigh[V][Opt][PRS][2Sg][3Du]	kayusighqek
kayusigh[V][Opt][PRS][2Sg][3Pl]	kayusighqi
kayusigh[V][Opt][PRS][2Sg][3Sg]	kayusighhu
lata[V][Opt][PRS][2Sg][1Pl]	latakut
lata[V][Opt][PRS][2Sg][1Sg]	latanga
lata[V][Opt][PRS][2Sg][3Du]	latakek
lata[V][Opt][PRS][2Sg][3Pl]	lataki
lata[V][Opt][PRS][2Sg][3Sg]	latagu
liite[V][Opt][PRS][2Sg][1Pl]	liitikut
liite[V][Opt][PRS][2Sg][1Sg]	liitinga
liite[V][Opt][PRS][2Sg][3Du]	liitikek
liite[V][Opt][PRS][2Sg][3Pl]	liitiki
liite[V][Opt][PRS][2Sg][3Sg]	liitigu
nagate[V][Opt][PRS][2Sg][1Pl]	nagatikut
nagate[V][Opt][PRS][2Sg][1Sg]	nagatinga
nagate[V][Opt][PRS][2Sg][3Du]	nagatikek
nagate[V][Opt][PRS][2Sg][3Pl]	nagatiki
nagate[V][Opt][PRS][2Sg][3Sg]	nagatigu
payegh[V][Opt][PRS][2Sg][1Pl]	payeghqut
payegh[V][Opt][PRS][2Sg][1Sg]	payeghnga
payegh[V][Opt][PRS][2Sg][3Du]	payeghqek
payegh[V][Opt][PRS][2Sg][3Pl]	payeghqi
payegh[V][Opt][PRS][2Sg][3Sg]	paasghu
pugimagh[V][Opt][PRS][2Sg][1Pl]	pugimaghqut
pugimagh[V][Opt][PRS][2Sg][1Sg]	pugimaghnga
pugimagh[V][Opt][PRS][2Sg][3Du]	pugimaghqek
pugimagh[V][Opt][PRS][2Sg][3Pl]	pugimaghqi
pugimagh[V][Opt][PRS][2Sg][3Sg]	pugimaghhu
pumsug[V][Opt][PRS][2Sg][1Pl]	pumsugkut
pumsug[V][Opt][PRS][2Sg][1Sg]	pumsugnga
pumsug[V][Opt][PRS][2Sg][3Du]	pumsugkek
pumsug[V][Opt][PRS][2Sg][3Pl]	pumsugki
pumsug[V][Opt][PRS][2Sg][3Sg]	pumsuggu
qelpeghte[V][Opt][PRS][2Sg][1Pl]	qelpeghtikut
qelpeghte[V][Opt][PRS][2Sg][1Sg]	qelpeghtinga
qelpeghte[V][Opt][PRS][2Sg][3Du]	qelpeghtikek
qelpeghte[V][Opt][PRS][2Sg][3Pl]	qelpeghtiki
qelpeghte[V][Opt][PRS][2Sg][3Sg]	qelpeghtigu
tagite[V][Opt][PRS][2Sg][1Pl]	tagitikut
tagite[V][Opt][PRS][2Sg][1Sg]	tagitinga
tagite[V][Opt][PRS][2Sg][3Du]	tagitikek
tagite[V][Opt][PRS][2Sg][3Pl]	tagitiki
tagite[V][Opt][PRS][2Sg][3Sg]	tagitigu
tugu[V][Opt][PRS][2Sg][1Pl]	tugukut
tugu[V][Opt][PRS][2Sg][1Sg]	tugunga
tugu[V][Opt][PRS][2Sg][3Du]	tugukek
tugu[V][Opt][PRS][2Sg][3Pl]	tuguki
tugu[V][Opt][PRS][2Sg][3Sg]	tugugu
tuqute[V][Opt][PRS][2Sg][1Pl]	tuqutikut
tuqute[V][Opt][PRS][2Sg][1Sg]	tuqutinga
tuqute[V][Opt][PRS][2Sg][3Du]	tuqutikek
tuqute[V][Opt][PRS][2Sg][3Pl]	tuqutiki
tuqute[V][Opt][PRS][2Sg][3Sg]	tuqutigu
umeg[V][Opt][PRS][2Sg][1Pl]	umegkut
umeg[V][Opt][PRS][2Sg][1Sg]	umegnga
umeg[V][Opt][PRS][2Sg][3Du]	umegkek
umeg[V][Opt][PRS][2Sg][3Pl]	umegki
umeg[V][Opt][PRS][2Sg][3Sg]	uumggu
