aakagh*[N][Abs][3PlPoss][DuPosd]	aakaagket
aakagh*[N][Abs][3PlPoss][PlPosd]	aakiit
aakagh*[N][Abs][3PlPoss][SgPosd]	aakaat
aaw[N][Abs][3PlPoss][DuPosd]	aawegket
aaw[N][Abs][3PlPoss][PlPosd]	aawit
aaw[N][Abs][3PlPoss][SgPosd]	aawat
aghnagh[N][Abs][3PlPoss][DuPosd]	aghnagket
aghnagh[N][Abs][3PlPoss][PlPosd]	aghniit
aghnagh[N][Abs][3PlPoss][SgPosd]	aghnaat
aghnalqwaagh[N][Abs][3PlPoss][DuPosd]	aghnalqwaaghegket
aghnalqwaagh[N][Abs][3PlPoss][PlPosd]	aghnalqwaaghit
aghnalqwaagh[N][Abs][3PlPoss][SgPosd]	aghnalqwaaghat
akuutagh[N][Abs][3PlPoss][DuPosd]	akuutagket
akuutagh[N][Abs][3PlPoss][PlPosd]	akuutiit
akuutagh[N][Abs][3PlPoss][SgPosd]	akuutaat
alangqugh[N][Abs][3PlPoss][DuPosd]	alangqugket
alangqugh[N][Abs][3PlPoss][PlPosd]	alangqwiit
alangqugh[N][Abs][3PlPoss][SgPosd]	alangqwaat
anengagh[N][Abs][3PlPoss][DuPosd]	anengagket
anengagh[N][Abs][3PlPoss][PlPosd]	anengiit
anengagh[N][Abs][3PlPoss][SgPosd]	anengaat
angyagh[N][Abs][3PlPoss][DuPosd]	angyagket
angyagh[N][Abs][3PlPoss][PlPosd]	angyiit
angyagh[N][Abs][3PlPoss][SgPosd]	angyaat
apeghtughista[N][Abs][3PlPoss][DuPosd]	apeghtughistagket
apeghtughista[N][Abs][3PlPoss][PlPosd]	apeghtughistangit
apeghtughista[N][Abs][3PlPoss][SgPosd]	apeghtughistangat
asag[N][Abs][3PlPoss][DuPosd]	asagegket
asag[N][Abs][3PlPoss][PlPosd]	asagit
asag[N][Abs][3PlPoss][SgPosd]	asagat
ata[N][Abs][3PlPoss][DuPosd]	atagket
ata[N][Abs][3PlPoss][PlPosd]	atangit
ata[N][Abs][3PlPoss][SgPosd]	atangat
ategh[N][Abs][3PlPoss][DuPosd]	aatghegket
ategh[N][Abs][3PlPoss][PlPosd]	aatghit
ategh[N][Abs][3PlPoss][SgPosd]	aatghat
ggute[N][Abs][3PlPoss][DuPosd]	ggutegket
ggute[N][Abs][3PlPoss][PlPosd]	gguutit
ggute[N][Abs][3PlPoss][SgPosd]	gguutat
ighaleqetaagh[N][Abs][3PlPoss][DuPosd]	ighaleqetaaghegket
ighaleqetaagh[N][Abs][3PlPoss][PlPosd]	ighaleqetaaghit
ighaleqetaagh[N][Abs][3PlPoss][SgPosd]	ighaleqetaaghat
ila[N][Abs][3PlPoss][DuPosd]	ilagket
ila[N][Abs][3PlPoss][PlPosd]	ilangit
ila[N][Abs][3PlPoss][SgPosd]	ilangat
iye[N][Abs][3PlPoss][DuPosd]	iyegket
iye[N][Abs][3PlPoss][PlPosd]	iiyit
iye[N][Abs][3PlPoss][SgPosd]	iiyat
Karake[N][Abs][3PlPoss][DuPosd]	Karakegket
Karake[N][Abs][3PlPoss][PlPosd]	Karakit
Karake[N][Abs][3PlPoss][SgPosd]	Karakat
lalala[N][Abs][3PlPoss][DuPosd]	lalalagket
lalala[N][Abs][3PlPoss][PlPosd]	lalalangit
lalala[N][Abs][3PlPoss][SgPosd]	lalalangat
mesuuna[N][Abs][3PlPoss][DuPosd]	mesuunagket
mesuuna[N][Abs][3PlPoss][PlPosd]	mesuunangit
mesuuna[N][Abs][3PlPoss][SgPosd]	mesuunangat
naasqugh[N][Abs][3PlPoss][DuPosd]	naasqugket
naasqugh[N][Abs][3PlPoss][PlPosd]	naasqwiit
naasqugh[N][Abs][3PlPoss][SgPosd]	naasqwaat
nengyugh*[N][Abs][3PlPoss][DuPosd]	nengyuugket
nengyugh*[N][Abs][3PlPoss][PlPosd]	nengyiit
nengyugh*[N][Abs][3PlPoss][SgPosd]	nengyaat
nulugh[N][Abs][3PlPoss][DuPosd]	nulugket
nulugh[N][Abs][3PlPoss][PlPosd]	nuliit
nulugh[N][Abs][3PlPoss][SgPosd]	nulaat
paye[N][Abs][3PlPoss][DuPosd]	payegket
paye[N][Abs][3PlPoss][PlPosd]	paayit
paye[N][Abs][3PlPoss][SgPosd]	paayat
pengugh[N][Abs][3PlPoss][DuPosd]	pengugket
pengugh[N][Abs][3PlPoss][PlPosd]	pengwiit
pengugh[N][Abs][3PlPoss][SgPosd]	pengwaat
qagugh[N][Abs][3PlPoss][DuPosd]	qagugket
qagugh[N][Abs][3PlPoss][PlPosd]	qawiit
qagugh[N][Abs][3PlPoss][SgPosd]	qawaat
qaye[N][Abs][3PlPoss][DuPosd]	qayegket
qaye[N][Abs][3PlPoss][PlPosd]	qaayit
qaye[N][Abs][3PlPoss][SgPosd]	qaayat
qayugh[N][Abs][3PlPoss][DuPosd]	qayugket
qayugh[N][Abs][3PlPoss][PlPosd]	qayiit
qayugh[N][Abs][3PlPoss][SgPosd]	qayaat
qiighw[N][Abs][3PlPoss][DuPosd]	qiighwegket
qiighw[N][Abs][3PlPoss][PlPosd]	qiighwit
qiighw[N][Abs][3PlPoss][SgPosd]	qiighwat
qikmigh[N][Abs][3PlPoss][DuPosd]	qikmigket
qikmigh[N][Abs][3PlPoss][PlPosd]	qikmiit
qikmigh[N][Abs][3PlPoss][SgPosd]	qikmiit
savig[N][Abs][3PlPoss][DuPosd]	savigegket
savig[N][Abs][3PlPoss][PlPosd]	savigit
savig[N][Abs][3PlPoss][SgPosd]	savigat
sigute[N][Abs][3PlPoss][DuPosd]	sigutegket
sigute[N][Abs][3PlPoss][PlPosd]	sigutit
sigute[N][Abs][3PlPoss][SgPosd]	sigutat
siivanllegh[N][Abs][3PlPoss][DuPosd]	siivanlleghegket
siivanllegh[N][Abs][3PlPoss][PlPosd]	siivanlleghit
siivanllegh[N][Abs][3PlPoss][SgPosd]	siivanlleghat
sikugh*[N][Abs][3PlPoss][DuPosd]	sikuugket
sikugh*[N][Abs][3PlPoss][PlPosd]	sikwiit
sikugh*[N][Abs][3PlPoss][SgPosd]	sikwaat
siqinegh[N][Abs][3PlPoss][DuPosd]	siqinghegket
siqinegh[N][Abs][3PlPoss][PlPosd]	siqinghit
siqinegh[N][Abs][3PlPoss][SgPosd]	siqinghat
tanqigh[N][Abs][3PlPoss][DuPosd]	tanqigket
tanqigh[N][Abs][3PlPoss][PlPosd]	tanqiit
tanqigh[N][Abs][3PlPoss][SgPosd]	tanqiit
teghikusaq[N][Abs][3PlPoss][DuPosd]	teghikusaqegket
teghikusaq[N][Abs][3PlPoss][PlPosd]	teghikusaqit
teghikusaq[N][Abs][3PlPoss][SgPosd]	teghikusaqat
tengegkayug[N][Abs][3PlPoss][DuPosd]	tengegkayugegket
tengegkayug[N][Abs][3PlPoss][PlPosd]	tengegkayugit
tengegkayug[N][Abs][3PlPoss][SgPosd]	tengegkayugat
tukugh*[N][Abs][3PlPoss][DuPosd]	tukuugket
tukugh*[N][Abs][3PlPoss][PlPosd]	tukwiit
tukugh*[N][Abs][3PlPoss][SgPosd]	tukwaat
ulaagh[N][Abs][3PlPoss][DuPosd]	ulaaghegket
ulaagh[N][Abs][3PlPoss][PlPosd]	ulaaghit
ulaagh[N][Abs][3PlPoss][SgPosd]	ulaaghat
ungipaghagh[N][Abs][3PlPoss][DuPosd]	ungipaghagket
ungipaghagh[N][Abs][3PlPoss][PlPosd]	ungipaghiit
ungipaghagh[N][Abs][3PlPoss][SgPosd]	ungipaghaat
uqugh[N][Abs][3PlPoss][DuPosd]	uqugket
uqugh[N][Abs][3PlPoss][PlPosd]	uqwiit
uqugh[N][Abs][3PlPoss][SgPosd]	uqwaat
uyaqugh[N][Abs][3PlPoss][DuPosd]	uyaqugket
uyaqugh[N][Abs][3PlPoss][PlPosd]	uyaqwiit
uyaqugh[N][Abs][3PlPoss][SgPosd]	uyaqwaat
walguyaag[N][Abs][3PlPoss][DuPosd]	walguyaagegket
walguyaag[N][Abs][3PlPoss][PlPosd]	walguyaagit
walguyaag[N][Abs][3PlPoss][SgPosd]	walguyaagat
yughaghte[N][Abs][3PlPoss][DuPosd]	yughaghtegket
yughaghte[N][Abs][3PlPoss][PlPosd]	yughaghtengit
yughaghte[N][Abs][3PlPoss][SgPosd]	yughaghtengat
