aakagh*[N][Abl_Mod][1SgPoss][SgPosd]	aakamneng
aakagh*[N][Abl_Mod][2SgPoss][SgPosd]	aakagpeneng
aakagh*[N][Abl_Mod][3SgPoss][SgPosd]	aakaaneng
amig[N][Abl_Mod][1SgPoss][SgPosd]	amimneng
amig[N][Abl_Mod][2SgPoss][SgPosd]	amigpeneng
amig[N][Abl_Mod][3SgPoss][SgPosd]	amiganeng
angyagh[N][Abl_Mod][1SgPoss][SgPosd]	angyamneng
angyagh[N][Abl_Mod][2SgPoss][SgPosd]	angyaghpeneng
angyagh[N][Abl_Mod][3SgPoss][SgPosd]	angyaaneng
aveg[N][Abl_Mod][1SgPoss][SgPosd]	avemneng
aveg[N][Abl_Mod][2SgPoss][SgPosd]	avegpeneng
aveg[N][Abl_Mod][3SgPoss][SgPosd]	aavganeng
eflugagh[N][Abl_Mod][1SgPoss][SgPosd]	eflugamneng
eflugagh[N][Abl_Mod][2SgPoss][SgPosd]	eflugaghpeneng
eflugagh[N][Abl_Mod][3SgPoss][SgPosd]	eflugaaneng
efluge[N][Abl_Mod][1SgPoss][SgPosd]	eflugemneng
efluge[N][Abl_Mod][2SgPoss][SgPosd]	eflugegpeneng
efluge[N][Abl_Mod][3SgPoss][SgPosd]	eflugeaneng
egllu[N][Abl_Mod][1SgPoss][SgPosd]	egllumneng
egllu[N][Abl_Mod][2SgPoss][SgPosd]	egllugpeneng
egllu[N][Abl_Mod][3SgPoss][SgPosd]	egllaaneng
ighnegh[N][Abl_Mod][1SgPoss][SgPosd]	ighnemneng
ighnegh[N][Abl_Mod][2SgPoss][SgPosd]	ighneghpeneng
ighnegh[N][Abl_Mod][3SgPoss][SgPosd]	ighneghaneng
kemekrag[N][Abl_Mod][1SgPoss][SgPosd]	kemekramneng
kemekrag[N][Abl_Mod][2SgPoss][SgPosd]	kemekragpeneng
kemekrag[N][Abl_Mod][3SgPoss][SgPosd]	kemekraganeng
qergese[N][Abl_Mod][1SgPoss][SgPosd]	qergesemneng
qergese[N][Abl_Mod][2SgPoss][SgPosd]	qergesegpeneng
qergese[N][Abl_Mod][3SgPoss][SgPosd]	qergeseaneng
qikmigh[N][Abl_Mod][1SgPoss][SgPosd]	qikmimneng
qikmigh[N][Abl_Mod][2SgPoss][SgPosd]	qikmighpeneng
qikmigh[N][Abl_Mod][3SgPoss][SgPosd]	qikmiineng
tipele[N][Abl_Mod][1SgPoss][SgPosd]	tipelemneng
tipele[N][Abl_Mod][2SgPoss][SgPosd]	tipelegpeneng
tipele[N][Abl_Mod][3SgPoss][SgPosd]	tipeleaneng
