aange-–ghllag[V→V][V][Intr][Ind][3Sg]	aangeghllagtuq
aghnagh-–ghhagh*[N→N][N][Abs][Unpd][Sg]	aghnaghhaq
aghnalqwaagh-–ghnaggagh*[N→N][N][Abs][Unpd][Sg]	aghnalqwaaghnaggaq
angyagh-–ghllag[N→N][N][Abs][Unpd][Sg]	angyaghllak
angyagh-–ghqu[N→V][V][Intr][Ind][3Sg]	angyaghquuq
angyagh-–ghraag[V→V][V][Intr][Ind][3Sg]	angyaghraagtuq
angyagh-–ghrug[N→N][N][Abs][Unpd][Sg]	angyaghruk
aqlagha-–ghraag[N→V][V][Intr][Ind][3Sg]	aqlaghaghraagtuq
ategh-~(g)aqe[V→V][V][Intr][Ind][3Sg]	aatghaquq
atkug-–ghllag[N→N][N][Abs][Unpd][Sg]	atkugllak
avii-~(g)aqe[V→V][V][Intr][Ind][3Sg]	aviigaquq
igamsiqanagh-~sf–ghhalek[how.V][V→XCLM]	igamsiqanaghhalek
ighivagh-–ghraag[V→V][V][Intr][Ind][3Sg]	ighivaghraagtuq
ipeg-~sf–ghhalek[how.V][V→XCLM]	iipghalek
iqallug-–ghnaggagh*[N→N][N][Abs][Unpd][Sg]	iqallugnaggaq
iqallugte-–ghraag[V→V][V][Intr][Ind][3Sg]	iqallugteghraagtuq
iyatagh-~(g)aqe[V→V][V][Intr][Ind][3Sg]	iyataghaquq
iyatagh-–ghllagu[V→V][V][Intr][Ind][1Sg]	iyataghllaguunga
kaate-~(g)aqe[V→V][V][Intr][Ind][3Sg]	kaataquq
kiive-–ghraag[V→V][V][Intr][Ind][3Sg]	kiiveghraagtuq
laalighte-~(g)aqe[V→V][V][Trns][Ind][3Sg][3Sg]	laalightaqaa
mamleg-–ghraag[V→V][V][Intr][Ind][3Sg]	mamlegraagtuq
mangteghagh-–ghrugllag[N→N][N][Abs][Unpd][Pl]	mangteghaghrugllaget
mangteghagh-–ghrugllag[N→N][N][Abs][Unpd][Sg]	mangteghaghrugllak
mangteghagh-–ghrukutaaghllag[N→N][N][Abs][Unpd][Pl]	mangteghaghrukutaaghllaget
megh-–ghhagh*[N→N][N][Abs][Unpd][Sg]	meghhaq
megh-–ghqu[N→V][V][Intr][Ind][3Sg]	meghquuq
megh-–ghraag[V→V][V][Intr][Ind][3Sg]	meghraagtuq
nagnegh-–ghllag[V→V][V][Intr][Ind][3Sg]	nagneghllagtuq
negh-@₁~fyug[V→V]-~(g)aqe[V→V][V][Intr][Ind][3Sg]	neghyugaquq
negh-~(g)aqe[V→V][V][Trns][Ind][3Sg][3Sg]	neghaqaa
nenglagh-~(g)aqe[V→V][V][Intr][Ind][3Sg]	nenglaghaquq
nenglu-–ghrukutaagh[N→N][N][Abs][Unpd][Sg]	nenglughrukutaaq
nighugh-@₁–ghpagte[V→V][V][Intr][Ind][3Sg]	nighughpagtuq
nuna-–ghllag[N→N][N][Abs][Unpd][Sg]	nunaghllak
pinigh-–ghraag[V→V][V][Intr][Ind][3Sg]	pinighraagtuq
pinigh-~sf–ghhalek[how.V][V→XCLM]	pinighhalek
qavagh-~(g)aqe[V→V][V][Intr][Ind][3Sg]	qavaghaquq
qavagh-–ghllag[V→V][V][Intr][Ind][3Sg]	qavaghllagtuq
qepghagh-–ghllagu[V→V][V][Intr][Ind][3Sg]	qepghaghllaguuq
qiighw-–ghllag[N→N]-–lgu[N→V][V][Intr][Ind][3Sg]	qiighwllalguuq
qikmigh-–ghhagh*[N→N][N][Abs][Unpd][Sg]	qikmighhaq
qiya-~(g)aqe[V→V][V][Intr][Ind][3Sg]	qiyaaquq
quyngigh-–ghrukutaagh[N→N][N][Abs][Unpd][Sg]	quyngighrukutaaq
repa-–ghqu[N→V][V][Intr][Ind][3Sg]	repaghquuq
seghlegh-~sf–ghhalek[how.N][N→XCLM]	seghleghhalek
siqlugagh-–ghqu[N→V][V][Intr][Ind][3Sg]	siqlugaghquuq
suka-~sf–ghhalek[how.N][N→XCLM]	sukaghhalek
sullevnegh-~sf–ghhalek[how.N][N→XCLM]	sullevneghhalek
sungagha-~sf–ghhalek[how.N][N→XCLM]	sungaghaghhalek
suugh-@₁–ghpagte[V→V][V][Intr][Ind][3Sg]	suughpagtuq
tenge-–ghrug[N→V]-@₁~:(i/u)ma[V→V][V][Intr][Ptcp][3Sg]	tengeghrugumalghii
tume-–ghllag[N→N][N][Abs][Unpd][Pl]	tumeghllaget
uughqaghtagh-–ghllag[N→N][N][Abs][Unpd][Sg]	uughqaghtaghllak
yug-–ghrug[N→N][N][Abs][Unpd][Sg]	yugruk
yug-–ghrukutaagh[N→N][N][Abs][Unpd][Sg]	yugrukutaaq
