asighute-–vyigh[V→V][V][Trns][Ind][3Sg][3Sg]	asighutevyighaa
atugh-~f–vag[V→V][V][Intr][Ind][3Sg]	atuvagtuq
ifkagh-–vzigh[V→V][V][Intr][Ind][3Sg]	ifkavzightuq
ifkagh-–vzigh[V→V][V][Trns][Ind][1Sg][3Sg]	ifkavzighaqa
igughi-@₁~fvike[V→V][V][Trns][Ind][3Sg][3Sg]	igughivikaa
iqu-–vzigh[V→V][V][Intr][Ind][3Sg]	iquvzightuq
kaki-~f–vag[V→V][V][Intr][Ind][3Sg]	kakivagtuq
naafqe-–vzigh[V→V][V][Trns][Sbrd][_][3Sg]	naafqevzighluku
qamiye-–vyiigh[N→N][N][Abl_Mod][Unpd][Du]	qamiyevyiighegneng
qetgegh-~f–vag[V→V][V][Intr][Ind][3Sg]	qetgevagtuq
qiya-~f–vag[V→V][V][Intr][Ind][3Sg]	qiyavagtuq
quya-@₁~fvike[V→V][V][Trns][Ind][3Sg][3Sg]	quyavikaa
tunu-vagh[N→V][V][Intr][Ind][3Sg]	tunuvaghtuq
tuqute-–vzigh[V→V][V][Trns][Ind][3Sg][3Sg]	tuqutevzighaa
tuute-~f–vag[V→V][V][Intr][Ind][3Sg]	tuutfagtuq
uka-vagh[N→V][V][Trns][Ind][3Sg][3Sg]	ukavaghaa
uqiite-@₁~fvike[V→V][V][Trns][Ind][3Sg][3Sg]	uqiitfikaa
yughagh-~f–vag[V→V][V][Intr][Ind][3Sg]	yughavagtuq
